^SAMPLE = GSM182249
!Sample_title = Saccharomyces cerevisiae MA-A8 MA-A3
!Sample_geo_accession = GSM182249
!Sample_status = Public on Jun 01 2007
!Sample_submission_date = Apr 16 2007
!Sample_last_update_date = Jun 01 2007
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = Saccharomyces cerevisiae MA-A8
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_characteristics_ch1 = Saccharomyces cerevisiae MA-A8
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Genisphere 3DNA System
!Sample_source_name_ch2 = Saccharomyces cerevisiae MA-A3
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_characteristics_ch2 = Saccharomyces cerevisiae MA-A3
!Sample_molecule_ch2 = total RNA
!Sample_extract_protocol_ch2 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Genisphere 3DNA System
!Sample_hyb_protocol = Genisphere 3DNA System
!Sample_scan_protocol = Axon scnanner and Genepix
!Sample_description = see Landry et al.
!Sample_data_processing = Spots of bad quality were given negative flags
!Sample_platform_id = GPL5092
!Sample_contact_name = Christian,,Landry
!Sample_contact_email = clandry@post.harvard.edu
!Sample_contact_laboratory = Hartl Laboratory
!Sample_contact_department = OEB
!Sample_contact_institute = Harvard University
!Sample_contact_address = 16 Divinity avenue
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02138
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7537
!Sample_data_row_count = 7744
#ID_REF = Platform ID
#F635_Median = median spot intensity at 635
#B635_Median = median background intensity at 635
#F532_Median = median spot intensity at 532
#B532_Median = median background intensity at 532
#Flags = zero signififies pass, less than zero is a bad spot
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = log ratio of median F635 divided by F532
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	Flags	VALUE	UNF_VALUE
1	814	56	906	72	0	-0.15	-0.15
2	1001	55	1547	70	0	-0.63	-0.63
3	4616	53	6466	68	0	-0.49	-0.49
4	12996	54	15437	70	0	-0.25	-0.25
5	505	56	676	70	0	-0.42	-0.42
6	17358	57	14373	70	0	0.27	0.27
7	1036	54	1092	68	0	-0.08	-0.08
8	1086	53	1866	67	0	-0.78	-0.78
9	4630	53	7243	67	0	-0.65	-0.65
10	22035	56	25816	69	0	-0.23	-0.23
11	517	55	880	67	0	-0.77	-0.77
12	16267	55	16075	68	0	0.02	0.02
13	960	54	1253	68	0	-0.38	-0.38
14	939	57	1646	70	0	-0.81	-0.81
15	4646	59	7633	71	0	-0.72	-0.72
16	21277	58	25237	72	0	-0.25	-0.25
17	704	58	991	71	0	-0.49	-0.49
18	15721	57	15208	71	0	0.05	0.05
19	794	57	867	72	0	-0.13	-0.13
20	838	55	1406	71	0	-0.75	-0.75
21	4295	56	6900	71	0	-0.68	-0.68
22	18293	59	21995	73	0	-0.27	-0.27
23	350	56	668	72	0	-0.93	-0.93
24	16193	56	13089	71	0	0.31	0.31
25	501	53	506	69	0	-0.01	-0.01
26	6434	53	6497	68	0	-0.01	-0.01
27	585	54	703	69	0	-0.27	-0.27
28	711	54	706	67	0	0.01	0.01
29	3541	54	2793	67	0	0.34	0.34
30	9834	52	8840	67	0	0.15	0.15
31	143	53	194	65	0	-0.44	-0.44
32	240	54	244	66	0	-0.02	-0.02
33	199	52	239	68	0	-0.26	-0.26
34	172	52	207	67	0	-0.27	-0.27
35	612	53	714	67	0	-0.22	-0.22
36	588	55	452	69	0	0.38	0.38
37	698	57	853	70	0	-0.29	-0.29
38	1190	57	1515	69	0	-0.35	-0.35
39	184	57	215	69	0	-0.22	-0.22
40	567	56	1071	69	0	-0.92	-0.92
41	2234	54	2984	69	0	-0.42	-0.42
42	364	54	507	69	0	-0.48	-0.48
43	1101	54	1568	69	0	-0.51	-0.51
44	493	57	828	70	0	-0.75	-0.75
45	608	60	777	75	0	-0.35	-0.35
46	3725	57	3493	75	0	0.09	0.09
47	4967	54	4785	70	0	0.05	0.05
48	237	54	309	68	0	-0.38	-0.38
49	376	54	403	71	0	-0.10	-0.10
50	405	52	457	69	0	-0.17	-0.17
51	1215	53	1275	67	0	-0.07	-0.07
52	1690	51	2038	67	0	-0.27	-0.27
53	678	51	772	66	0	-0.19	-0.19
54	852	53	1077	66	0	-0.34	-0.34
