^SAMPLE = GSM182250
!Sample_title = Saccharomyces cerevisiae MA-A0 MA-A8
!Sample_geo_accession = GSM182250
!Sample_status = Public on Jun 01 2007
!Sample_submission_date = Apr 16 2007
!Sample_last_update_date = Jun 01 2007
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = Saccharomyces cerevisiae MA-A0
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_characteristics_ch1 = Saccharomyces cerevisiae MA-A0
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Genisphere 3DNA System
!Sample_source_name_ch2 = Saccharomyces cerevisiae MA-A8
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_characteristics_ch2 = Saccharomyces cerevisiae MA-A8
!Sample_molecule_ch2 = total RNA
!Sample_extract_protocol_ch2 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Genisphere 3DNA System
!Sample_hyb_protocol = Genisphere 3DNA System
!Sample_scan_protocol = Axon scnanner and Genepix
!Sample_description = see Landry et al.
!Sample_data_processing = Spots of bad quality were given negative flags
!Sample_platform_id = GPL5092
!Sample_contact_name = Christian,,Landry
!Sample_contact_email = clandry@post.harvard.edu
!Sample_contact_laboratory = Hartl Laboratory
!Sample_contact_department = OEB
!Sample_contact_institute = Harvard University
!Sample_contact_address = 16 Divinity avenue
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02138
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7537
!Sample_data_row_count = 7744
#ID_REF = Platform ID
#F635_Median = median spot intensity at 635
#B635_Median = median background intensity at 635
#F532_Median = median spot intensity at 532
#B532_Median = median background intensity at 532
#Flags = zero signififies pass, less than zero is a bad spot
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = log ratio of median F635 divided by F532
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	Flags	VALUE	UNF_VALUE
1	611	54	1115	59	0	-0.87	-0.87
2	787	56	2293	66	0	-1.54	-1.54
3	4955	59	11299	63	0	-1.19	-1.19
4	19313	58	23714	66	0	-0.30	-0.30
5	693	59	1378	63	0	-0.99	-0.99
6	31262	58	16135	65	0	0.95	0.95
7	762	59	1368	66	0	-0.84	-0.84
8	909	59	2369	66	0	-1.38	-1.38
9	5793	71	9022	87	0	-0.64	-0.64
10	30867	73	24418	97	0	0.34	0.34
11	678	62	1498	73	0	-1.14	-1.14
12	28836	60	15589	62	0	0.89	0.89
13	578	58	1140	59	0	-0.98	-0.98
14	596	56	1828	59	0	-1.62	-1.62
15	3938	57	9570	60	0	-1.28	-1.28
16	25748	57	23590	60	0	0.13	0.13
17	754	60	1637	60	0	-1.12	-1.12
18	26744	61	14981	64	0	0.84	0.84
19	456	57	884	61	0	-0.96	-0.96
20	505	57	1501	61	0	-1.57	-1.57
21	2832	56	8084	61	0	-1.51	-1.51
22	17866	57	21428	62	0	-0.26	-0.26
23	428	56	781	62	0	-0.87	-0.87
24	33562	57	16778	67	0	1.00	1.00
25	567	59	1168	66	0	-1.04	-1.04
26	5706	59	11923	67	0	-1.06	-1.06
27	630	58	1148	62	0	-0.87	-0.87
28	632	58	1305	59	0	-1.05	-1.05
29	4635	56	8532	59	0	-0.88	-0.88
30	8546	58	14472	64	0	-0.76	-0.76
31	215	66	381	80	0	-0.83	-0.83
32	306	64	595	75	0	-0.96	-0.96
33	236	61	432	67	0	-0.87	-0.87
34	150	58	279	61	0	-0.90	-0.90
35	581	56	1212	59	0	-1.06	-1.06
36	371	56	682	59	0	-0.88	-0.88
37	575	55	1074	57	0	-0.90	-0.90
38	958	57	1826	58	0	-0.93	-0.93
39	148	58	265	60	0	-0.84	-0.84
40	531	57	1070	60	0	-1.01	-1.01
41	2091	56	3699	60	0	-0.82	-0.82
42	324	55	621	58	0	-0.94	-0.94
43	955	57	2219	59	0	-1.22	-1.22
44	426	57	784	61	0	-0.88	-0.88
45	590	57	1064	62	0	-0.85	-0.85
46	3278	58	5654	63	0	-0.79	-0.79
47	4466	58	9206	67	0	-1.04	-1.04
48	234	57	447	65	0	-0.93	-0.93
49	327	55	607	58	0	-0.89	-0.89
50	365	53	691	57	0	-0.92	-0.92
51	1115	55	2124	57	0	-0.93	-0.93
52	1635	59	3067	61	0	-0.91	-0.91
53	663	64	1249	72	0	-0.91	-0.91
