^SAMPLE = GSM182248
!Sample_title = Saccharomyces cerevisiae MA-A4 MA-A8
!Sample_geo_accession = GSM182248
!Sample_status = Public on Jun 01 2007
!Sample_submission_date = Apr 16 2007
!Sample_last_update_date = Jun 01 2007
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = Saccharomyces cerevisiae MA-A4
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_characteristics_ch1 = Saccharomyces cerevisiae MA-A4
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Genisphere 3DNA System
!Sample_source_name_ch2 = Saccharomyces cerevisiae MA-A8
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_characteristics_ch2 = Saccharomyces cerevisiae MA-A8
!Sample_molecule_ch2 = total RNA
!Sample_extract_protocol_ch2 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Genisphere 3DNA System
!Sample_hyb_protocol = Genisphere 3DNA System
!Sample_scan_protocol = Axon scnanner and Genepix
!Sample_description = see Landry et al.
!Sample_data_processing = Spots of bad quality were given negative flags
!Sample_platform_id = GPL5092
!Sample_contact_name = Christian,,Landry
!Sample_contact_email = clandry@post.harvard.edu
!Sample_contact_laboratory = Hartl Laboratory
!Sample_contact_department = OEB
!Sample_contact_institute = Harvard University
!Sample_contact_address = 16 Divinity avenue
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02138
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7537
!Sample_data_row_count = 7744
#ID_REF = Platform ID
#F635_Median = median spot intensity at 635
#B635_Median = median background intensity at 635
#F532_Median = median spot intensity at 532
#B532_Median = median background intensity at 532
#Flags = zero signififies pass, less than zero is a bad spot
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = log ratio of median F635 divided by F532
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	Flags	VALUE	UNF_VALUE
1	906	44	856	63	0	0.08	0.08
2	638	46	814	66	0	-0.35	-0.35
3	8947	47	6999	64	0	0.35	0.35
4	21891	43	16315	62	0	0.42	0.42
5	847	43	780	62	0	0.12	0.12
6	18477	44	30186	63	0	-0.71	-0.71
7	804	44	735	62	0	0.13	0.13
8	392	44	556	61	0	-0.50	-0.50
9	6243	45	5369	61	0	0.22	0.22
10	25670	45	21865	63	0	0.23	0.23
11	702	45	651	62	0	0.11	0.11
12	13358	45	27085	63	0	-1.02	-1.02
13	602	44	577	62	0	0.06	0.06
14	265	44	403	61	0	-0.60	-0.60
15	5277	44	4893	62	0	0.11	0.11
16	21581	45	17522	65	0	0.30	0.30
17	815	46	751	64	0	0.12	0.12
18	12206	46	25844	64	0	-1.08	-1.08
19	469	46	469	64	0	0.00	0.00
20	282	45	392	63	0	-0.48	-0.48
21	3988	46	3797	63	0	0.07	0.07
22	16381	47	14454	64	0	0.18	0.18
23	772	45	655	64	0	0.24	0.24
24	22159	46	34973	66	0	-0.66	-0.66
25	719	46	808	62	0	-0.17	-0.17
26	8833	44	7568	61	0	0.22	0.22
27	882	44	789	61	0	0.16	0.16
28	876	43	776	61	0	0.17	0.17
29	6056	44	4725	60	0	0.36	0.36
30	12436	44	9495	62	0	0.39	0.39
31	182	45	213	61	0	-0.23	-0.23
32	191	44	259	61	0	-0.44	-0.44
33	255	46	247	61	0	0.05	0.05
34	211	46	242	63	0	-0.20	-0.20
35	781	44	775	61	0	0.01	0.01
36	482	44	499	60	0	-0.05	-0.05
37	648	44	611	60	0	0.08	0.08
38	980	45	1004	62	0	-0.03	-0.03
39	159	45	188	62	0	-0.24	-0.24
40	482	47	471	62	0	0.03	0.03
41	1809	46	1890	62	0	-0.06	-0.06
42	324	46	356	62	0	-0.14	-0.14
43	894	46	920	62	0	-0.04	-0.04
44	461	45	418	61	0	0.14	0.14
45	1018	46	973	63	0	0.07	0.07
46	5339	45	5504	63	0	-0.04	-0.04
47	8563	43	6580	60	0	0.38	0.38
48	304	43	305	59	0	-0.00	-0.00
49	492	44	468	60	0	0.07	0.07
50	505	43	490	60	0	0.04	0.04
51	1335	43	1389	61	0	-0.06	-0.06
52	2139	43	1959	61	0	0.13	0.13
53	854	45	765	61	0	0.16	0.16
54	1005	43	902	61	0	0.16	0.16
55	1954	44	1847	62	0	0.08	0.08
56	6867	44	6120	62	0	0.17	0.17
57	1266	44	1182	62	0	0.10	0.10
58	2100	44	2351	59	0	-0.16	-0.16
59	638	43	681	60	0	-0.09	-0.09
60	824	45	765	61	0	0.11	0.11
61	763	45	799	61	0	-0.07	-0.07
62	900	47	905	63	0	-0.01	-0.01
63	517	45	544	61	0	-0.07	-0.07
64	215	46	208	60	0	0.05	0.05
65	1123	46	1127	62	0	-0.01	-0.01
66	659	44	660	61	0	-0.00	-0.00
67	673	43	509	60	0	0.40	0.40
68	447	43	388	60	0	0.20	0.20
69	244	42	297	59	0	-0.28	-0.28
70	762	43	785	59	0	-0.04	-0.04
71	5381	44	4071	60	0	0.40	0.40
72	1302	44	1179	61	0	0.14	0.14
73	29032	44	25056	63	0	0.21	0.21
74	4362	45	4442	62	0	-0.03	-0.03
75	36075	47	32269	62	0	0.16	0.16
76	2951	44	2661	62	0	0.15	0.15
77	24913	45	21915	60	0	0.18	0.18
78	493	45	468	61	0	0.08	0.08
79	147	45	167	62	0	-0.18	-0.18
80	411	45	562	61	0	-0.45	-0.45
81	264	45	260	61	0	0.02	0.02
82	190	45	186	62	0	0.03	0.03
83	1440	44	1093	62	0	0.40	0.40
84	263	45	269	63	0	-0.03	-0.03
85	579	45	597	62	0	-0.04	-0.04
86	1528	45	1553	60	0	-0.02	-0.02
87	407	47	379	62	0	0.10	0.10
88	2760	46	3180	61	0	-0.20	-0.20
89	47379	44	41773	60	0	0.18	0.18
90	460	43	394	60	0	0.22	0.22
91	1720	41	1476	59	0	0.22	0.22
92	1579	42	1444	59	0	0.13	0.13
93	591	43	531	59	0	0.15	0.15
94	495	43	537	58	0	-0.12	-0.12
95	10080	44	9378	60	0	0.10	0.10
96	305	45	368	62	0	-0.27	-0.27
97	603	44	582	61	0	0.05	0.05
98	394	44	369	60	0	0.09	0.09
99	240	44	254	58	0	-0.08	-0.08
100	1730	45	1824	60	0	-0.08	-0.08
101	780	46	818	63	0	-0.07	-0.07
102	3880	46	3517	64	0	0.14	0.14
103	1719	45	1910	61	0	-0.15	-0.15
104	197	45	222	62	0	-0.17	-0.17
105	13271	44	12144	63	0	0.13	0.13
106	199	45	206	61	0	-0.05	-0.05
107	1337	46	1199	62	0	0.16	0.16
108	347	47	368	62	0	-0.08	-0.08
109	1266	47	1210	63	0	0.07	0.07
110	2993	47	2618	63	0	0.19	0.19
111	2817	44	2567	60	0	0.13	0.13
112	2679	43	2446	59	0	0.13	0.13
113	8494	42	8155	58	0	0.06	0.06
114	1436	42	1367	58	0	0.07	0.07
115	736	42	681	58	0	0.11	0.11
116	1265	43	1373	57	0	-0.12	-0.12
117	5290	43	4595	58	0	0.20	0.20
118	368	43	395	60	0	-0.10	-0.10
119	740	42	668	59	0	0.15	0.15
120	809	43	775	60	0	0.06	0.06
121	552	44	644	60	0	-0.22	-0.22
122	2464	44	3731	60	0	-0.60	-0.60
123	2311	45	2336	61	0	-0.02	-0.02
124	1617	46	1461	62	0	0.15	0.15
125	2334	44	2678	60	0	-0.20	-0.20
126	783	45	756	61	0	0.05	0.05
127	1138	45	1028	62	0	0.15	0.15
128	537	45	527	61	0	0.03	0.03
129	260	46	271	61	0	-0.06	-0.06
130	2855	47	2615	62	0	0.13	0.13
131	309	46	332	62	0	-0.10	-0.10
132	3542	47	3706	63	0	-0.07	-0.07
133	11615	43	9338	59	0	0.31	0.31
134	127	42	170	57	0	-0.42	-0.42
135	884	43	723	58	0	0.29	0.29
136	3732	43	4288	58	0	-0.20	-0.20
137	2962	43	3237	60	0	-0.13	-0.13
138	745	43	634	59	0	0.23	0.23
139	4468	42	4245	58	0	0.07	0.07
140	259	43	287	58	0	-0.15	-0.15
141	290	43	268	58	0	0.11	0.11
142	796	43	741	59	0	0.10	0.10
143	2678	44	2342	60	0	0.19	0.19
144	15850	44	12587	59	0	0.33	0.33
145	1580	45	1793	60	0	-0.18	-0.18
146	241	44	271	60	0	-0.17	-0.17
147	1116	45	1002	60	0	0.16	0.16
148	701	45	705	60	0	-0.01	-0.01
149	690	46	897	61	0	-0.38	-0.38
150	623	45	603	62	0	0.05	0.05
151	865	45	818	62	0	0.08	0.08
152	136	46	145	62	0	-0.09	-0.09
153	573	46	594	63	0	-0.05	-0.05
154	559	48	557	65	0	0.01	0.01
155	490	42	403	59	0	0.28	0.28
156	2679	42	2138	57	0	0.33	0.33
157	1045	42	935	58	0	0.16	0.16
158	939	44	884	60	0	0.09	0.09
159	1374	43	1334	59	0	0.04	0.04
160	3152	42	3446	60	0	-0.13	-0.13
161	1660	41	1682	60	0	-0.02	-0.02
162	1302	42	980	59	0	0.41	0.41
163	2163	42	1838	58	0	0.23	0.23
164	460	41	488	60	0	-0.09	-0.09
165	636	44	674	58	0	-0.08	-0.08
166	390	44	440	59	0	-0.17	-0.17
167	17430	45	17746	61	0	-0.03	-0.03
168	341	45	360	61	0	-0.08	-0.08
169	796	46	739	59	0	0.11	0.11
170	1615	45	1537	60	0	0.07	0.07
171	150	46	183	61	0	-0.29	-0.29
172	3657	46	3242	62	0	0.17	0.17
173	1171	46	1213	62	0	-0.05	-0.05
174	2357	47	2384	62	0	-0.02	-0.02
175	198	46	216	62	0	-0.13	-0.13
176	1597	47	1582	64	0	0.01	0.01
177	7766	46	7825	65	0	-0.01	-0.01
178	554	45	420	60	0	0.40	0.40
179	1507	44	1371	58	0	0.14	0.14
180	1799	44	1805	60	0	-0.00	-0.00
181	2431	42	2354	58	0	0.05	0.05
182	1610	42	1537	60	0	0.07	0.07
183	7792	42	7694	59	0	0.02	0.02
184	1674	42	1938	58	0	-0.21	-0.21
185	4291	42	4122	58	0	0.06	0.06
186	2348	43	2437	59	0	-0.05	-0.05
187	120	43	137	57	0	-0.19	-0.19
188	160	43	165	57	0	-0.04	-0.04
189	93	43	122	59	0	-0.39	-0.39
190	808	46	921	61	0	-0.19	-0.19
191	1875	45	1813	60	0	0.05	0.05
192	5305	46	4644	60	0	0.19	0.19
193	291	46	299	61	0	-0.04	-0.04
194	44	45	58	62	-50		-0.40
195	45	46	57	61	-50		-0.34
196	210	47	313	61	0	-0.58	-0.58
197	427	44	417	61	0	0.03	0.03
198	1664	45	1935	61	0	-0.22	-0.22
199	564	56	582	74	0	-0.05	-0.05
200	1154	50	1263	68	0	-0.13	-0.13
201	1000	43	805	58	0	0.31	0.31
202	4785	42	4668	60	0	0.04	0.04
203	310	41	326	59	0	-0.07	-0.07
204	233	42	262	58	0	-0.17	-0.17
205	40	41	58	58	-50		-0.54
206	42	42	57	59	-50		-0.44
207	42	42	60	58	-50		-0.51
208	41	41	57	57	-50		-0.48
209	377	42	720	57	0	-0.93	-0.93
210	252	43	360	58	0	-0.51	-0.51
211	43	42	58	59	-50		-0.43
212	46	45	57	60	-50		-0.31
213	931	44	1041	61	0	-0.16	-0.16
214	139	44	175	62	0	-0.33	-0.33
215	1996	44	2529	61	0	-0.34	-0.34
216	800	44	1010	60	0	-0.34	-0.34
217	46	46	61	61	-50		-0.41
218	44	46	61	61	-50		-0.47
219	3204	44	3656	60	0	-0.19	-0.19
220	1950	44	2320	60	0	-0.25	-0.25
221	1683	58	1450	76	0	0.21	0.21
222	596	53	542	73	0	0.14	0.14
223	1251	42	1098	60	0	0.19	0.19
224	4980	42	4564	59	0	0.13	0.13
225	2144	41	2212	59	0	-0.05	-0.05
226	478	42	526	58	0	-0.14	-0.14
227	547	42	565	58	0	-0.05	-0.05
228	5577	42	6227	59	0	-0.16	-0.16
229	1747	42	1559	59	0	0.16	0.16
230	5594	42	5050	59	0	0.15	0.15
231	168	43	186	58	0	-0.15	-0.15
232	1579	43	1559	58	0	0.02	0.02
233	3740	43	3582	58	0	0.06	0.06
234	193	44	214	60	0	-0.15	-0.15
235	26715	45	25258	64	0	0.08	0.08
236	16301	46	12436	62	0	0.39	0.39
237	595	45	612	61	0	-0.04	-0.04
238	162	44	185	60	0	-0.19	-0.19
239	516	44	537	61	0	-0.06	-0.06
240	270	45	309	61	0	-0.19	-0.19
241	668	45	474	59	0	0.49	0.49
242	96	44	118	59	0	-0.30	-0.30
243	2046	52	1941	69	0	0.08	0.08
244	577	48	517	68	0	0.16	0.16
245	11357	42	8717	58	0	0.38	0.38
246	1885	42	1890	56	0	-0.00	-0.00
247	314	43	320	58	0	-0.03	-0.03
248	1158	43	1081	57	0	0.10	0.10
249	2261	42	2057	57	0	0.14	0.14
250	955	42	961	57	0	-0.01	-0.01
251	3911	43	3310	58	0	0.24	0.24
252	1615	43	1837	58	0	-0.19	-0.19
