^SAMPLE = GSM182252
!Sample_title = Saccharomyces cerevisiae MA-A3 MA-A0
!Sample_geo_accession = GSM182252
!Sample_status = Public on Jun 01 2007
!Sample_submission_date = Apr 16 2007
!Sample_last_update_date = Jun 01 2007
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = Saccharomyces cerevisiae MA-A3
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_characteristics_ch1 = Saccharomyces cerevisiae MA-A3
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Genisphere 3DNA System
!Sample_source_name_ch2 = Saccharomyces cerevisiae MA-A0
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_characteristics_ch2 = Saccharomyces cerevisiae MA-A0
!Sample_molecule_ch2 = total RNA
!Sample_extract_protocol_ch2 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Genisphere 3DNA System
!Sample_hyb_protocol = Genisphere 3DNA System
!Sample_scan_protocol = Axon scnanner and Genepix
!Sample_description = see Landry et al.
!Sample_data_processing = Spots of bad quality were given negative flags
!Sample_platform_id = GPL5092
!Sample_contact_name = Christian,,Landry
!Sample_contact_email = clandry@post.harvard.edu
!Sample_contact_laboratory = Hartl Laboratory
!Sample_contact_department = OEB
!Sample_contact_institute = Harvard University
!Sample_contact_address = 16 Divinity avenue
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02138
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7537
!Sample_data_row_count = 7744
#ID_REF = Platform ID
#F635_Median = median spot intensity at 635
#B635_Median = median background intensity at 635
#F532_Median = median spot intensity at 532
#B532_Median = median background intensity at 532
#Flags = zero signififies pass, less than zero is a bad spot
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = log ratio of median F635 divided by F532
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	Flags	VALUE	UNF_VALUE
1	452	44	766	61	0	-0.76	-0.76
2	677	46	1760	62	0	-1.38	-1.38
3	3478	44	5916	62	0	-0.77	-0.77
4	14205	45	15176	62	0	-0.10	-0.10
5	425	44	699	61	0	-0.72	-0.72
6	24877	45	30811	63	0	-0.31	-0.31
7	644	44	945	62	0	-0.55	-0.55
8	716	45	1714	61	0	-1.26	-1.26
9	3155	45	5383	62	0	-0.77	-0.77
10	22295	45	22629	63	0	-0.02	-0.02
11	384	46	588	65	0	-0.61	-0.61
12	22151	46	28033	64	0	-0.34	-0.34
13	457	46	762	63	0	-0.74	-0.74
14	606	46	1478	63	0	-1.29	-1.29
15	3850	46	5553	64	0	-0.53	-0.53
16	21451	47	20648	66	0	0.06	0.06
17	686	47	832	65	0	-0.28	-0.28
18	21187	48	26168	64	0	-0.30	-0.30
19	445	48	688	63	0	-0.63	-0.63
20	650	48	1436	65	0	-1.14	-1.14
21	3387	46	4870	63	0	-0.52	-0.52
22	16338	48	16053	64	0	0.03	0.03
23	340	44	419	61	0	-0.30	-0.30
24	24923	46	32692	64	0	-0.39	-0.39
25	408	44	648	59	0	-0.67	-0.67
26	3613	44	6921	61	0	-0.94	-0.94
27	544	44	844	60	0	-0.63	-0.63
28	443	45	762	59	0	-0.78	-0.78
29	3683	45	5648	61	0	-0.62	-0.62
30	4834	45	7479	60	0	-0.63	-0.63
31	130	44	198	60	0	-0.61	-0.61
32	186	44	317	59	0	-0.77	-0.77
33	155	44	247	60	0	-0.67	-0.67
34	132	45	220	61	0	-0.74	-0.74
35	383	46	619	61	0	-0.69	-0.69
36	228	46	468	61	0	-1.04	-1.04
37	537	46	774	63	0	-0.53	-0.53
38	943	47	1372	63	0	-0.54	-0.54
39	150	47	221	62	0	-0.56	-0.56
40	633	48	789	63	0	-0.32	-0.32
41	2071	48	2933	63	0	-0.50	-0.50
42	368	47	454	64	0	-0.30	-0.30
43	1049	46	1432	63	0	-0.45	-0.45
44	454	47	543	63	0	-0.26	-0.26
45	557	44	844	61	0	-0.60	-0.60
46	2184	44	4238	60	0	-0.96	-0.96
47	2562	44	4795	57	0	-0.90	-0.90
48	197	43	310	59	0	-0.65	-0.65
49	292	44	466	61	0	-0.67	-0.67
50	313	44	506	60	0	-0.69	-0.69
51	1018	45	1685	61	0	-0.73	-0.73
52	1200	44	2050	60	0	-0.77	-0.77
53	377	44	702	61	0	-0.90	-0.90
54	607	44	962	59	0	-0.66	-0.66
55	1040	44	1815	61	0	-0.80	-0.80
56	3665	45	5640	61	0	-0.62	-0.62
57	860	46	1653	60	0	-0.94	-0.94
58	1506	46	2992	60	0	-0.99	-0.99
59	604	47	1041	61	0	-0.79	-0.79
60	662	46	995	62	0	-0.59	-0.59
61	774	47	1102	61	0	-0.51	-0.51
62	770	45	1284	62	0	-0.74	-0.74
63	529	46	780	63	0	-0.56	-0.56
64	181	46	262	63	0	-0.53	-0.53
65	1059	46	1587	64	0	-0.58	-0.58
66	560	46	891	63	0	-0.67	-0.67
67	235	44	481	61	0	-1.03	-1.03
68	199	44	361	61	0	-0.86	-0.86
69	173	43	332	60	0	-0.94	-0.94
70	467	43	703	60	0	-0.59	-0.59
71	2617	44	3575	60	0	-0.45	-0.45
72	691	44	1007	60	0	-0.54	-0.54
73	19431	45	23720	63	0	-0.29	-0.29
74	2395	45	4581	63	0	-0.94	-0.94
75	32017	46	37428	62	0	-0.23	-0.23
76	1976	45	3311	61	0	-0.74	-0.74
77	17249	45	21025	61	0	-0.29	-0.29
78	299	45	531	61	0	-0.83	-0.83
79	81	45	143	61	0	-0.82	-0.82
80	286	45	701	60	0	-1.29	-1.29
81	168	46	309	60	0	-0.88	-0.88
82	189	47	226	62	0	-0.26	-0.26
83	1007	46	1362	60	0	-0.44	-0.44
84	161	45	245	61	0	-0.61	-0.61
85	445	46	730	61	0	-0.71	-0.71
86	1418	46	2040	63	0	-0.52	-0.52
87	407	46	513	63	0	-0.33	-0.33
88	2461	47	3847	63	0	-0.64	-0.64
89	37117	45	40849	62	0	-0.14	-0.14
90	173	44	307	60	0	-0.83	-0.83
91	573	44	1302	60	0	-1.18	-1.18
92	1179	43	1534	61	0	-0.38	-0.38
93	887	43	661	59	0	0.42	0.42
94	388	44	529	60	0	-0.45	-0.45
95	5314	45	8512	61	0	-0.68	-0.68
96	235	44	379	59	0	-0.69	-0.69
97	315	44	523	59	0	-0.73	-0.73
98	247	44	402	59	0	-0.70	-0.70
99	156	45	253	59	0	-0.70	-0.70
100	1676	45	3209	60	0	-0.94	-0.94
101	546	45	997	61	0	-0.87	-0.87
102	2703	45	4742	61	0	-0.81	-0.81
103	1492	46	2954	62	0	-0.99	-0.99
104	183	49	250	65	0	-0.45	-0.45
105	13408	47	13887	64	0	-0.05	-0.05
106	133	46	216	61	0	-0.70	-0.70
107	970	47	1338	61	0	-0.46	-0.46
108	321	47	477	64	0	-0.57	-0.57
109	1347	47	1890	64	0	-0.49	-0.49
110	3032	48	4225	65	0	-0.48	-0.48
111	767	45	1717	61	0	-1.16	-1.16
112	1149	43	1930	60	0	-0.75	-0.75
113	4102	43	8023	60	0	-0.97	-0.97
114	769	43	1439	60	0	-0.90	-0.90
115	332	43	563	59	0	-0.76	-0.76
116	722	44	1303	60	0	-0.85	-0.85
117	3591	45	5568	61	0	-0.63	-0.63
118	292	44	413	60	0	-0.50	-0.50
119	417	44	667	59	0	-0.68	-0.68
120	279	44	738	59	0	-1.40	-1.40
121	332	44	571	58	0	-0.78	-0.78
122	3329	46	5919	60	0	-0.83	-0.83
123	1191	46	2125	60	0	-0.84	-0.84
124	727	46	1388	60	0	-0.93	-0.93
125	1510	47	2899	62	0	-0.94	-0.94
126	470	48	747	62	0	-0.67	-0.67
127	1193	46	1430	61	0	-0.26	-0.26
128	337	46	491	61	0	-0.54	-0.54
129	237	48	360	62	0	-0.60	-0.60
