^SAMPLE = GSM182251
!Sample_title = Saccharomyces cerevisiae MA-A8 MA-A1
!Sample_geo_accession = GSM182251
!Sample_status = Public on Jun 01 2007
!Sample_submission_date = Apr 16 2007
!Sample_last_update_date = Jun 01 2007
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = Saccharomyces cerevisiae MA-A8
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_characteristics_ch1 = Saccharomyces cerevisiae MA-A8
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Genisphere 3DNA System
!Sample_source_name_ch2 = Saccharomyces cerevisiae MA-A1
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_characteristics_ch2 = Saccharomyces cerevisiae MA-A1
!Sample_molecule_ch2 = total RNA
!Sample_extract_protocol_ch2 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Genisphere 3DNA System
!Sample_hyb_protocol = Genisphere 3DNA System
!Sample_scan_protocol = Axon scnanner and Genepix
!Sample_description = see Landry et al.
!Sample_data_processing = Spots of bad quality were given negative flags
!Sample_platform_id = GPL5092
!Sample_contact_name = Christian,,Landry
!Sample_contact_email = clandry@post.harvard.edu
!Sample_contact_laboratory = Hartl Laboratory
!Sample_contact_department = OEB
!Sample_contact_institute = Harvard University
!Sample_contact_address = 16 Divinity avenue
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02138
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7537
!Sample_data_row_count = 7744
#ID_REF = Platform ID
#F635_Median = median spot intensity at 635
#B635_Median = median background intensity at 635
#F532_Median = median spot intensity at 532
#B532_Median = median background intensity at 532
#Flags = zero signififies pass, less than zero is a bad spot
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = log ratio of median F635 divided by F532
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	Flags	VALUE	UNF_VALUE
1	1642	54	2512	89	0	-0.61	-0.61
2	2681	54	1277	93	0	1.07	1.07
3	8899	54	8265	93	0	0.11	0.11
4	19791	55	29865	93	0	-0.59	-0.59
5	968	53	1540	89	0	-0.67	-0.67
6	40983	54	32396	89	0	0.34	0.34
7	1496	53	2129	87	0	-0.51	-0.51
8	2836	55	1177	88	0	1.27	1.27
9	7663	56	7860	88	0	-0.04	-0.04
10	32451	57	39887	92	0	-0.30	-0.30
11	773	57	1369	96	0	-0.82	-0.82
12	35939	58	27684	94	0	0.38	0.38
13	1211	55	1971	89	0	-0.70	-0.70
14	2339	56	1050	93	0	1.16	1.16
15	8981	58	8360	97	0	0.10	0.10
16	31792	60	37516	98	0	-0.24	-0.24
17	1061	58	1747	96	0	-0.72	-0.72
18	36750	59	27236	97	0	0.43	0.43
19	1256	60	1854	97	0	-0.56	-0.56
20	2460	59	1095	97	0	1.17	1.17
21	8501	61	7349	100	0	0.21	0.21
22	27809	60	35286	100	0	-0.34	-0.34
23	657	55	1170	93	0	-0.83	-0.83
24	43787	58	37354	94	0	0.23	0.23
25	847	55	1156	93	0	-0.45	-0.45
26	10100	56	12157	93	0	-0.27	-0.27
27	1109	55	1814	88	0	-0.71	-0.71
28	934	54	1579	85	0	-0.76	-0.76
29	5558	53	5824	84	0	-0.07	-0.07
30	11642	53	11540	85	0	0.01	0.01
31	184	54	330	87	0	-0.84	-0.84
32	376	54	501	88	0	-0.41	-0.41
33	240	56	420	91	0	-0.81	-0.81
34	210	57	338	92	0	-0.69	-0.69
35	1177	57	1802	92	0	-0.61	-0.61
36	534	56	1013	92	0	-0.92	-0.92
37	871	57	1557	91	0	-0.84	-0.84
38	1621	58	2620	91	0	-0.69	-0.69
39	239	56	348	90	0	-0.54	-0.54
40	894	58	1330	94	0	-0.57	-0.57
41	4015	59	5241	97	0	-0.38	-0.38
42	496	57	1013	94	0	-1.03	-1.03
43	1827	57	2810	94	0	-0.62	-0.62
44	703	57	1219	94	0	-0.79	-0.79
45	1137	55	1817	91	0	-0.68	-0.68
46	5714	56	9705	92	0	-0.76	-0.76
47	7138	55	9213	90	0	-0.37	-0.37
48	443	56	733	90	0	-0.73	-0.73
49	697	56	917	90	0	-0.40	-0.40
50	639	53	1004	88	0	-0.65	-0.65
51	2031	51	3202	86	0	-0.66	-0.66
52	2882	52	4151	85	0	-0.53	-0.53
53	916	52	1305	86	0	-0.51	-0.51
54	1058	53	1890	91	0	-0.84	-0.84
55	2650	57	4736	95	0	-0.84	-0.84
56	8934	58	15435	94	0	-0.79	-0.79
57	1755	58	2602	92	0	-0.57	-0.57
58	3677	56	6073	90	0	-0.72	-0.72
59	1287	58	2045	90	0	-0.67	-0.67
60	1219	56	1874	90	0	-0.62	-0.62
61	1425	56	2503	88	0	-0.81	-0.81
62	1493	56	2139	88	0	-0.52	-0.52
63	1120	55	1631	93	0	-0.54	-0.54
64	258	57	372	93	0	-0.53	-0.53
65	2190	58	2929	93	0	-0.42	-0.42
66	1371	59	1702	94	0	-0.31	-0.31
67	599	55	886	90	0	-0.56	-0.56
68	413	55	779	91	0	-0.92	-0.92
69	362	55	503	91	0	-0.47	-0.47
70	769	55	1167	89	0	-0.60	-0.60
71	4633	56	8238	90	0	-0.83	-0.83
72	1434	58	2757	94	0	-0.94	-0.94
73	37752	56	49253	92	0	-0.38	-0.38
74	6615	56	10872	90	0	-0.72	-0.72
75	64814	56	55971	91	0	0.21	0.21
76	4529	56	6639	92	0	-0.55	-0.55
77	35242	59	46135	96	0	-0.39	-0.39
78	669	60	1156	94	0	-0.79	-0.79
79	101	56	199	89	0	-0.98	-0.98
80	848	56	1358	92	0	-0.68	-0.68
81	330	61	572	98	0	-0.79	-0.79
82	214	58	462	91	0	-1.11	-1.11
83	1617	57	2750	86	0	-0.77	-0.77
84	228	55	415	85	0	-0.86	-0.86
85	773	56	1763	88	0	-1.19	-1.19
86	2310	57	3751	92	0	-0.70	-0.70
87	763	58	1016	94	0	-0.41	-0.41
88	5669	58	9737	95	0	-0.78	-0.78
89	65535	56	63457	89	0	0.05	0.05
90	325	54	546	92	0	-0.75	-0.75
91	1731	55	2924	91	0	-0.76	-0.76
92	1687	55	3097	89	0	-0.88	-0.88
93	752	55	1487	88	0	-0.98	-0.98
94	648	57	1274	91	0	-0.98	-0.98
95	10324	56	19299	91	0	-0.90	-0.90
96	492	55	815	87	0	-0.73	-0.73
97	732	56	1145	89	0	-0.65	-0.65
98	441	56	850	90	0	-0.95	-0.95
99	311	59	527	95	0	-0.76	-0.76
100	4599	57	3509	97	0	0.39	0.39
101	1290	57	1879	88	0	-0.54	-0.54
102	4277	56	5034	91	0	-0.24	-0.24
103	3924	62	4404	101	0	-0.17	-0.17
104	275	64	400	101	0	-0.54	-0.54
105	17208	59	25858	90	0	-0.59	-0.59
106	167	55	311	88	0	-0.90	-0.90
107	1365	55	3354	88	0	-1.30	-1.30
108	554	56	896	91	0	-0.69	-0.69
109	2419	56	3204	94	0	-0.41	-0.41
110	4171	59	6989	93	0	-0.74	-0.74
111	3068	57	4721	89	0	-0.62	-0.62
112	3092	56	5071	92	0	-0.71	-0.71
113	11779	56	12485	90	0	-0.08	-0.08
114	1462	53	2178	89	0	-0.58	-0.58
115	847	54	1291	88	0	-0.61	-0.61
116	2250	56	3089	90	0	-0.46	-0.46
117	6022	55	9299	90	0	-0.63	-0.63
118	502	55	887	91	0	-0.82	-0.82
119	771	55	1638	87	0	-1.09	-1.09
120	1038	55	1421	90	0	-0.45	-0.45
121	958	58	1209	93	0	-0.34	-0.34
122	7798	58	10990	95	0	-0.50	-0.50
123	3320	58	5684	88	0	-0.78	-0.78
124	2847	56	2987	87	0	-0.07	-0.07
125	3575	59	6418	90	0	-0.84	-0.84
126	1019	61	1900	91	0	-0.90	-0.90
127	1381	57	2760	86	0	-1.00	-1.00
128	623	55	1230	86	0	-0.98	-0.98
129	381	55	646	87	0	-0.76	-0.76
130	4607	56	6604	87	0	-0.52	-0.52
131	640	56	1016	89	0	-0.67	-0.67
132	5867	57	9003	90	0	-0.62	-0.62
133	9616	55	16042	89	0	-0.74	-0.74
134	190	56	356	88	0	-0.91	-0.91
135	972	55	1714	90	0	-0.82	-0.82
136	6601	54	7511	89	0	-0.19	-0.19
137	3612	55	6917	88	0	-0.94	-0.94
138	602	56	1190	87	0	-0.98	-0.98
139	5066	56	8384	88	0	-0.73	-0.73
140	342	54	610	90	0	-0.83	-0.83
141	308	54	642	89	0	-1.06	-1.06
142	990	55	1958	92	0	-0.98	-0.98
143	3236	59	6313	93	0	-0.96	-0.96
144	16652	58	29231	96	0	-0.81	-0.81
145	3438	58	4593	96	0	-0.42	-0.42
146	459	56	752	91	0	-0.71	-0.71
147	1517	55	2297	89	0	-0.60	-0.60
148	885	54	1771	87	0	-1.00	-1.00
149	1187	54	1824	88	0	-0.62	-0.62
150	1154	55	1367	88	0	-0.24	-0.24
151	1501	56	2507	88	0	-0.74	-0.74
152	118	55	208	87	0	-0.82	-0.82
153	1149	54	1840	87	0	-0.68	-0.68
154	840	57	1694	89	0	-1.01	-1.01
155	445	55	851	88	0	-0.94	-0.94
156	2316	54	4183	87	0	-0.85	-0.85
157	1002	54	1664	87	0	-0.73	-0.73
158	1219	54	2111	88	0	-0.79	-0.79
159	1640	57	2604	88	0	-0.67	-0.67
160	5570	56	7483	85	0	-0.43	-0.43
161	1950	55	4012	89	0	-1.04	-1.04
162	1129	54	2444	88	0	-1.11	-1.11
163	2605	55	4224	86	0	-0.70	-0.70
164	658	55	1175	90	0	-0.84	-0.84
165	856	59	1615	95	0	-0.92	-0.92
166	708	59	1217	94	0	-0.78	-0.78
167	28132	58	40906	94	0	-0.54	-0.54
168	536	56	967	92	0	-0.85	-0.85
169	1188	55	1909	89	0	-0.68	-0.68
170	2404	56	3920	90	0	-0.71	-0.71
171	160	55	307	89	0	-0.94	-0.94
172	4614	57	4710	91	0	-0.03	-0.03
173	1257	57	2287	89	0	-0.86	-0.86
174	3070	55	6302	89	0	-1.04	-1.04
175	276	57	435	90	0	-0.66	-0.66
176	2346	58	4232	90	0	-0.85	-0.85
177	10238	56	10632	89	0	-0.05	-0.05
178	391	55	924	88	0	-1.24	-1.24
179	1684	54	2712	88	0	-0.69	-0.69
180	2476	53	3846	89	0	-0.64	-0.64
181	2490	56	5967	86	0	-1.26	-1.26
182	2245	55	3119	88	0	-0.47	-0.47
183	10951	53	12826	89	0	-0.23	-0.23
184	2380	55	3959	86	0	-0.73	-0.73
185	4984	54	7660	84	0	-0.62	-0.62
186	3023	55	5948	86	0	-0.98	-0.98
187	161	57	292	93	0	-0.86	-0.86
188	162	58	316	92	0	-0.96	-0.96
189	114	58	213	90	0	-0.90	-0.90
190	1398	57	2349	92	0	-0.75	-0.75
191	2883	57	4201	89	0	-0.54	-0.54
192	7748	57	9810	93	0	-0.34	-0.34
193	463	59	709	93	0	-0.61	-0.61
194	56	57	93	94	-50		-0.73
195	53	57	86	91	-50		-0.70
196	440	55	678	89	0	-0.62	-0.62
197	677	55	1225	88	0	-0.86	-0.86
198	2906	56	4874	84	0	-0.75	-0.75
199	506	55	886	90	0	-0.81	-0.81
200	1691	56	3203	90	0	-0.92	-0.92
201	926	54	1812	88	0	-0.97	-0.97
202	6512	55	10754	88	0	-0.72	-0.72
203	416	56	759	88	0	-0.87	-0.87
204	350	54	580	87	0	-0.73	-0.73
205	50	53	83	87	-50		-0.73
206	57	53	85	85	-50		-0.58
207	56	53	85	84	-50		-0.60
208	57	54	80	86	-50		-0.49
209	1742	55	2083	88	0	-0.26	-0.26
210	547	56	958	91	0	-0.81	-0.81
211	56	57	89	91	-50		-0.67
212	56	56	89	90	-50		-0.67
213	1615	58	3558	92	0	-1.14	-1.14
214	191	63	314	101	0	-0.72	-0.72
215	4486	65	5660	102	0	-0.34	-0.34
216	2027	57	3242	92	0	-0.68	-0.68
217	57	56	91	92	-50		-0.67
218	54	58	84	92	-50		-0.64
219	6354	55	8768	88	0	-0.46	-0.46
220	4037	56	6757	84	0	-0.74	-0.74
221	1639	54	3033	86	0	-0.89	-0.89
222	470	55	796	86	0	-0.76	-0.76
223	1410	54	2554	88	0	-0.86	-0.86
224	4685	55	9109	89	0	-0.96	-0.96
225	3249	55	4518	91	0	-0.48	-0.48
226	614	55	1262	88	0	-1.04	-1.04
227	873	54	1403	87	0	-0.68	-0.68
228	8201	53	10704	88	0	-0.38	-0.38
229	2558	55	4711	88	0	-0.88	-0.88
230	6918	55	9324	88	0	-0.43	-0.43
231	209	57	350	90	0	-0.74	-0.74
232	3146	56	3770	91	0	-0.26	-0.26
233	4886	56	7909	90	0	-0.69	-0.69
234	211	55	371	91	0	-0.81	-0.81
235	46656	59	52338	92	0	-0.17	-0.17
236	19802	60	30746	97	0	-0.63	-0.63
237	1063	62	1726	100	0	-0.70	-0.70
238	198	57	345	91	0	-0.80	-0.80
239	900	55	1631	91	0	-0.86	-0.86
240	481	56	705	90	0	-0.55	-0.55
241	698	56	2042	88	0	-1.55	-1.55
242	106	56	180	86	0	-0.76	-0.76
243	2136	52	4655	84	0	-1.12	-1.12
244	477	54	914	86	0	-0.94	-0.94
245	11742	55	15025	87	0	-0.36	-0.36
246	2641	54	5038	89	0	-0.93	-0.93
247	410	54	782	89	0	-0.93	-0.93
248	1427	55	3084	87	0	-1.11	-1.11
249	2138	55	5369	87	0	-1.33	-1.33
250	1133	55	2795	87	0	-1.30	-1.30
251	5162	56	8066	86	0	-0.64	-0.64
252	2691	56	5663	90	0	-1.07	-1.07
253	3148	56	4732	91	0	-0.59	-0.59
254	1770	56	2782	91	0	-0.65	-0.65
255	593	56	1442	89	0	-1.28	-1.28
256	330	55	742	88	0	-1.17	-1.17
257	3621	58	9718	88	0	-1.42	-1.42
258	1479	59	3353	94	0	-1.18	-1.18
259	23284	61	35692	99	0	-0.62	-0.62
260	3836	58	8841	94	0	-1.20	-1.20
261	1675	57	3514	93	0	-1.07	-1.07
262	2448	57	4807	92	0	-0.97	-0.97
263	383	56	783	90	0	-1.03	-1.03
264	3936	56	7248	88	0	-0.88	-0.88
265	381	52	730	86	0	-0.94	-0.94
266	957	54	2127	89	0	-1.15	-1.15
267	1468	55	3196	88	0	-1.12	-1.12
268	420	53	932	87	0	-1.15	-1.15
269	6540	54	12431	86	0	-0.93	-0.93
270	930	54	1942	87	0	-1.06	-1.06
271	919	54	2017	87	0	-1.13	-1.13
272	2885	54	4678	85	0	-0.70	-0.70
273	1386	55	2494	85	0	-0.85	-0.85
274	349	54	801	88	0	-1.20	-1.20
275	158	55	303	89	0	-0.94	-0.94
276	1421	55	2249	90	0	-0.66	-0.66
277	107	55	238	86	0	-1.15	-1.15
278	331	55	813	85	0	-1.30	-1.30
279	820	58	1972	87	0	-1.27	-1.27
280	928	58	2271	92	0	-1.29	-1.29
281	930	65	1931	101	0	-1.05	-1.05
282	22923	62	28799	98	0	-0.33	-0.33
283	115	59	182	92	0	-0.66	-0.66
284	390	58	873	91	0	-1.16	-1.16
285	1371	56	2579	91	0	-0.91	-0.91
286	890	55	2392	88	0	-1.43	-1.43
287	3364	54	5240	88	0	-0.64	-0.64
288	6547	56	10908	89	0	-0.74	-0.74
289	1401	57	1913	91	0	-0.45	-0.45
290	8953	53	11923	88	0	-0.41	-0.41
291	421	54	673	87	0	-0.68	-0.68
292	3854	54	5262	86	0	-0.45	-0.45
293	871	54	1729	87	0	-0.99	-0.99
294	7036	53	9330	87	0	-0.41	-0.41
295	2029	53	3304	85	0	-0.70	-0.70
296	1265	54	2178	86	0	-0.78	-0.78
297	326	56	881	86	0	-1.43	-1.43
298	1459	55	2652	86	0	-0.86	-0.86
299	1072	55	2169	88	0	-1.02	-1.02
300	446	56	907	89	0	-1.02	-1.02
301	607	57	1315	89	0	-1.12	-1.12
302	4239	57	4900	91	0	-0.21	-0.21
303	280	62	486	95	0	-0.80	-0.80
304	133	60	237	94	0	-0.83	-0.83
305	358	56	632	89	0	-0.82	-0.82
306	3262	56	5872	88	0	-0.85	-0.85
307	738	57	1489	89	0	-1.01	-1.01
308	144	57	246	89	0	-0.77	-0.77
309	874	55	1392	88	0	-0.67	-0.67
310	3330	55	4293	89	0	-0.37	-0.37
311	3873	56	6459	89	0	-0.74	-0.74
312	7141	56	8996	89	0	-0.33	-0.33
313	498	57	910	88	0	-0.87	-0.87
314	8172	56	11567	88	0	-0.50	-0.50
315	912	55	1736	87	0	-0.93	-0.93
316	38061	54	47112	87	0	-0.31	-0.31
317	345	54	731	85	0	-1.08	-1.08
318	1214	55	2153	85	0	-0.83	-0.83
319	972	55	1784	85	0	-0.88	-0.88
320	181	56	343	88	0	-0.92	-0.92
321	959	55	1817	86	0	-0.92	-0.92
322	322	56	442	88	0	-0.46	-0.46
