	(0, 1]	(1, 2]	(2, 3]	(3, 4]	(4, 5]	(5, 6]	(6, 7]
trial_0	0	0	1	2	29	142	70
trial_1	0	0	0	0	31	140	69
trial_2	0	0	0	6	29	140	70
trial_3	0	0	1	6	26	136	75
trial_4	0	0	0	3	31	127	81
trial_5	0	0	0	3	32	143	63
trial_6	0	0	1	5	23	138	65
trial_7	0	0	1	5	26	150	63
trial_8	0	0	2	4	23	135	79
trial_9	0	0	0	3	30	133	71
trial_10	0	0	1	2	31	137	59
trial_11	0	0	1	3	29	144	59
trial_12	0	0	0	1	23	149	67
trial_13	0	0	1	0	28	146	64
trial_14	0	0	0	3	27	152	52
trial_15	0	0	0	4	30	130	73
trial_16	0	0	0	1	25	147	75
trial_17	0	0	1	2	30	154	51
trial_18	0	0	0	2	28	143	70
trial_19	0	0	1	1	28	146	64
trial_20	0	0	0	3	31	142	65
trial_21	0	0	0	1	30	139	69
trial_22	0	0	2	1	33	146	60
trial_23	0	1	0	5	27	138	79
trial_24	0	0	0	1	24	145	70
trial_25	0	0	0	3	27	143	67
trial_26	0	0	0	1	34	133	72
trial_27	0	0	0	2	27	136	76
trial_28	0	0	0	5	29	135	70
trial_29	0	0	0	2	34	145	61
trial_30	0	0	0	2	27	151	61
trial_31	0	0	0	3	27	130	74
trial_32	0	0	0	2	29	133	67
trial_33	0	0	0	2	30	140	61
trial_34	0	0	0	3	32	138	68
trial_35	0	0	1	3	26	152	59
trial_36	0	0	0	3	19	146	70
trial_37	0	0	0	5	32	126	68
trial_38	0	0	0	3	23	146	64
trial_39	0	0	1	5	25	127	82
trial_40	0	0	3	2	22	148	67
trial_41	0	0	0	2	33	130	78
trial_42	0	0	0	3	27	150	60
trial_43	0	0	0	1	25	146	70
trial_44	0	0	0	4	23	148	60
trial_45	0	0	0	6	28	146	64
trial_46	0	0	1	4	33	141	61
trial_47	0	0	0	3	36	146	59
trial_48	0	0	0	2	26	149	68
trial_49	0	0	1	3	23	134	80
trial_50	0	0	0	2	34	142	66
trial_51	0	0	0	4	15	148	68
trial_52	0	0	0	3	24	148	66
trial_53	0	0	0	3	26	155	64
trial_54	0	0	1	4	29	139	54
trial_55	0	0	0	1	23	145	73
trial_56	0	0	0	6	33	140	63
trial_57	0	0	0	0	26	147	66
trial_58	0	0	0	4	26	143	63
trial_59	0	0	1	2	21	147	69
trial_60	0	0	0	1	20	149	73
trial_61	0	0	1	1	31	136	74
trial_62	0	0	0	4	29	145	62
trial_63	0	0	1	1	25	148	61
trial_64	0	0	1	2	23	135	61
trial_65	0	0	1	4	19	149	72
trial_66	0	0	0	8	32	137	63
trial_67	0	0	0	1	29	138	63
trial_68	0	0	1	3	37	131	66
trial_69	0	0	0	2	25	153	62
trial_70	0	0	3	3	27	140	71
trial_71	0	0	0	3	24	151	69
trial_72	0	0	0	8	28	141	64
trial_73	0	0	0	3	40	123	65
trial_74	0	0	0	3	25	146	67
trial_75	0	0	0	0	29	149	59
trial_76	0	0	0	1	40	134	65
