	(0, 1]	(1, 2]	(2, 3]	(3, 4]	(4, 5]	(5, 6]	(6, 7]
trial_0	0	0	0	3	6	41	4
trial_1	0	0	1	0	6	40	12
trial_2	0	0	0	1	11	37	7
trial_3	0	0	0	0	14	34	7
trial_4	0	0	0	2	5	38	12
trial_5	0	0	0	1	14	36	8
trial_6	0	0	0	0	8	41	10
trial_7	0	0	0	0	6	43	8
trial_8	0	0	0	3	8	37	8
trial_9	0	0	0	2	10	37	9
trial_10	0	0	0	0	4	42	9
trial_11	0	0	0	0	9	40	10
trial_12	0	0	0	1	10	37	8
trial_13	0	0	0	2	8	39	7
trial_14	0	0	0	0	12	33	7
trial_15	0	0	0	1	8	40	8
trial_16	0	0	0	2	12	30	14
trial_17	0	0	1	1	9	37	10
trial_18	0	0	1	1	9	36	6
trial_19	0	0	1	0	13	37	9
trial_20	0	0	0	1	12	33	6
trial_21	0	0	0	1	12	35	9
trial_22	0	0	0	2	10	35	12
trial_23	0	0	0	0	5	37	6
trial_24	0	0	0	1	10	32	13
trial_25	0	0	0	1	8	36	11
trial_26	0	0	0	0	10	37	11
trial_27	0	0	0	2	6	42	3
trial_28	0	0	0	0	10	33	12
trial_29	0	0	0	2	7	36	9
trial_30	0	0	0	1	8	33	16
trial_31	0	0	0	3	11	36	7
trial_32	0	0	0	2	7	33	11
trial_33	0	0	0	2	9	45	4
trial_34	0	0	0	1	8	41	5
trial_35	0	0	1	0	11	37	6
trial_36	0	0	0	1	9	41	8
trial_37	0	0	0	2	11	38	6
trial_38	0	0	0	1	12	36	9
trial_39	0	0	0	4	11	31	12
trial_40	0	0	0	1	9	36	11
trial_41	0	0	0	1	10	33	12
trial_42	0	0	0	1	12	33	15
trial_43	0	0	0	1	7	40	6
trial_44	0	0	0	1	9	41	8
trial_45	0	0	0	0	16	36	6
trial_46	0	0	0	1	9	35	13
trial_47	0	0	0	2	12	36	8
trial_48	0	0	0	2	9	31	14
trial_49	0	0	0	1	4	42	9
trial_50	0	0	0	1	6	39	10
trial_51	0	0	0	0	8	34	12
trial_52	0	0	0	1	6	46	6
trial_53	0	0	0	0	6	42	12
trial_54	0	0	0	2	8	36	13
trial_55	0	0	1	1	10	42	7
trial_56	0	0	0	0	7	39	12
trial_57	0	0	0	2	9	36	4
trial_58	0	0	0	1	8	38	8
trial_59	0	0	0	0	10	37	9
trial_60	0	0	1	0	8	43	8
trial_61	0	0	0	2	6	40	8
trial_62	0	0	0	0	12	37	4
trial_63	0	0	2	1	8	33	12
trial_64	0	0	0	2	9	27	19
trial_65	0	0	1	1	6	42	7
trial_66	0	0	0	0	12	40	5
trial_67	0	0	0	1	7	41	8
trial_68	0	0	0	0	18	31	7
trial_69	0	0	0	2	8	33	7
trial_70	0	0	0	0	8	39	8
trial_71	0	0	1	1	9	41	10
trial_72	0	0	0	2	8	35	6
trial_73	0	0	0	0	11	39	7
trial_74	0	0	0	3	7	33	11
trial_75	0	0	0	0	6	37	12
trial_76	0	0	0	1	8	31	12
trial_77	0	0	0	0	12	38	7
trial_78	0	0	0	0	10	38	10
trial_79	0	0	0	2	9	35	12
trial_80	0	0	0	1	10	45	6
trial_81	0	0	0	1	10	37	12
trial_82	0	0	0	0	11	35	8
trial_83	0	0	0	0	16	37	6
trial_84	0	0	0	0	9	40	7
trial_85	0	0	0	1	13	32	10
trial_86	0	0	0	1	13	32	10
trial_87	0	0	2	0	11	39	5
trial_88	0	0	0	1	10	36	6
trial_89	0	0	0	0	9	42	8
trial_90	0	0	0	3	7	30	13
trial_91	0	0	0	0	6	40	6
trial_92	0	0	0	1	5	36	11
trial_93	0	0	0	1	6	45	7
trial_94	0	0	0	2	10	36	6
trial_95	0	0	0	0	9	39	11
trial_96	0	0	0	0	11	31	9
trial_97	0	0	0	0	8	37	10
trial_98	0	0	0	3	11	33	7
trial_99	0	0	0	1	12	33	11
trial_100	0	0	1	0	8	36	10
trial_101	0	0	0	1	7	36	11
trial_102	0	0	0	1	10	30	14
trial_103	0	0	1	1	8	43	4
trial_104	0	0	0	1	9	41	9
trial_105	0	0	0	0	7	33	13
trial_106	0	0	0	0	13	34	11
trial_107	0	0	1	1	11	42	2
trial_108	0	0	0	3	10	38	7
trial_109	0	0	0	1	7	37	7
trial_110	0	0	1	0	12	39	6
trial_111	0	0	0	2	12	35	8
trial_112	0	0	1	1	8	35	11
trial_113	0	0	0	1	7	39	7
trial_114	0	0	0	0	12	37	7
trial_115	0	0	0	1	9	36	8
trial_116	0	0	0	1	6	43	11
trial_117	0	0	0	0	12	38	6
trial_118	0	0	1	2	9	32	8
trial_119	0	0	0	1	13	30	9
trial_120	0	0	0	0	7	40	7
trial_121	0	0	0	1	11	31	14
trial_122	0	0	0	0	8	40	10
trial_123	0	0	0	3	12	34	6
trial_124	0	0	0	2	8	32	9
trial_125	0	0	0	0	14	36	8
trial_126	0	0	0	0	7	40	11
trial_127	0	0	0	1	13	36	8
trial_128	0	0	0	0	7	41	10
trial_129	0	0	0	2	11	30	13
trial_130	0	0	0	2	10	35	9
trial_131	0	0	0	1	5	37	11
trial_132	0	0	0	1	10	34	9
trial_133	0	0	0	1	9	38	12
trial_134	0	0	0	3	11	34	9
trial_135	0	0	0	0	11	34	8
trial_136	0	0	0	1	6	42	10
trial_137	0	0	1	1	11	30	11
trial_138	0	0	0	1	12	30	12
trial_139	0	0	0	2	8	39	11
trial_140	0	0	0	1	10	33	8
trial_141	0	0	0	2	8	38	7
trial_142	0	0	0	1	15	30	10
trial_143	0	0	0	1	5	38	10
trial_144	0	0	0	1	9	31	15
trial_145	0	0	0	1	10	34	11
trial_146	0	0	0	7	11	33	6
trial_147	0	0	0	0	10	30	16
trial_148	0	0	0	2	13	32	10
trial_149	0	0	0	0	7	35	10
trial_150	0	0	0	1	10	37	6
trial_151	0	0	0	2	9	39	8
trial_152	0	0	1	0	9	39	10
trial_153	0	0	0	1	11	40	10
trial_154	0	0	0	2	10	34	6
trial_155	0	0	0	1	15	36	10
trial_156	0	0	0	1	8	42	7
trial_157	0	0	0	1	8	38	7
trial_158	0	0	0	1	7	34	10
trial_159	0	0	0	1	9	39	8
trial_160	0	0	0	0	13	34	8
trial_161	0	0	1	1	8	40	9
trial_162	0	0	0	0	12	40	9
trial_163	0	0	0	0	7	40	6
trial_164	0	0	0	0	10	36	11
trial_165	0	0	0	1	4	39	11
trial_166	0	0	0	1	7	39	8
trial_167	0	0	1	4	11	34	8
trial_168	0	0	0	1	10	34	13
trial_169	0	0	0	0	17	37	7
trial_170	0	0	0	0	14	40	3
trial_171	0	0	0	0	8	38	7
trial_172	0	0	0	0	9	38	9
trial_173	0	0	0	1	12	30	13
trial_174	0	0	0	1	8	41	5
trial_175	0	0	0	4	10	33	10
trial_176	0	0	0	2	4	35	13
trial_177	0	0	0	1	8	43	6
trial_178	0	0	0	0	6	44	6
trial_179	0	0	0	2	8	38	10
trial_180	0	0	1	1	5	40	8
trial_181	0	0	0	0	8	41	5
trial_182	0	0	0	1	6	39	11
trial_183	0	0	0	0	9	41	12
trial_184	0	0	1	0	7	42	7
trial_185	0	0	0	2	9	35	11
trial_186	0	0	0	0	12	36	10
trial_187	0	0	0	1	14	39	4
trial_188	0	0	0	0	12	36	10
trial_189	0	0	0	2	9	34	10
trial_190	0	0	0	1	9	37	6
trial_191	0	0	0	1	9	39	7
trial_192	0	0	0	1	6	37	10
trial_193	0	0	0	2	13	33	8
trial_194	0	0	0	3	9	34	15
trial_195	0	0	0	1	8	29	14
trial_196	0	0	0	0	13	41	7
trial_197	0	0	0	1	10	31	14
trial_198	0	0	0	1	11	37	9
trial_199	0	0	0	0	9	38	10
trial_200	0	0	0	0	11	44	4
trial_201	0	0	0	1	7	40	7
