	(0, 1]	(1, 2]	(2, 3]	(3, 4]	(4, 5]	(5, 6]	(6, 7]
trial_0	0	0	0	3	26	104	50
trial_1	0	0	0	2	25	101	46
trial_2	0	0	0	4	14	99	55
trial_3	0	0	0	1	14	106	51
trial_4	0	0	0	2	19	99	53
trial_5	0	0	1	2	15	117	46
trial_6	0	0	0	3	29	103	49
trial_7	0	0	0	3	18	122	41
trial_8	0	0	0	1	22	113	36
trial_9	0	0	0	1	23	103	50
trial_10	0	0	0	5	20	95	56
trial_11	0	0	1	1	25	115	43
trial_12	0	0	0	4	18	97	61
trial_13	0	1	0	1	30	104	40
trial_14	0	0	0	4	20	106	42
trial_15	0	0	0	5	27	101	48
trial_16	0	0	0	3	19	107	48
trial_17	0	0	0	1	22	113	40
trial_18	0	0	1	0	23	104	54
trial_19	0	0	0	2	22	98	52
trial_20	0	0	1	3	20	98	49
trial_21	0	0	0	2	27	105	51
trial_22	0	0	0	4	24	99	51
trial_23	0	0	0	5	19	104	44
trial_24	0	0	0	3	20	111	40
trial_25	0	0	0	1	17	112	41
trial_26	0	0	0	1	15	111	49
trial_27	0	0	0	2	24	116	47
trial_28	0	0	0	3	22	113	41
trial_29	0	1	0	3	21	107	50
trial_30	0	0	0	1	22	89	54
trial_31	0	0	1	2	27	108	39
trial_32	0	0	0	2	27	89	40
trial_33	0	0	0	2	20	105	51
trial_34	0	0	0	1	20	102	52
trial_35	0	0	0	2	22	105	44
trial_36	0	0	0	4	15	96	50
trial_37	0	0	0	2	21	101	48
trial_38	0	0	0	1	15	119	44
trial_39	0	0	1	3	29	110	45
trial_40	0	0	0	3	16	103	44
trial_41	0	0	0	0	20	108	47
trial_42	0	0	0	2	22	109	43
trial_43	0	0	0	2	13	105	52
trial_44	0	1	0	3	24	95	53
trial_45	0	0	0	0	16	115	50
trial_46	0	0	0	2	19	107	48
trial_47	0	0	0	2	20	108	46
trial_48	0	0	0	1	26	108	39
trial_49	0	0	0	1	28	104	41
trial_50	0	0	0	2	25	105	41
trial_51	0	0	0	1	26	116	46
trial_52	0	0	0	6	24	92	51
trial_53	0	0	0	1	22	100	57
trial_54	0	0	0	2	17	113	44
trial_55	0	1	0	6	26	105	37
trial_56	0	0	0	1	26	99	44
trial_57	0	0	0	4	29	92	53
trial_58	0	0	0	1	16	118	46
trial_59	0	0	0	0	25	114	34
trial_60	0	0	0	1	22	103	46
trial_61	0	0	0	1	23	100	59
trial_62	0	1	0	3	19	98	56
trial_63	0	0	0	5	24	95	51
