	(0, 1]	(1, 2]	(2, 3]	(3, 4]	(4, 5]	(5, 6]	(6, 7]
trial_0	0	0	0	0	2	10	5
trial_1	0	0	0	0	2	6	5
trial_2	0	0	0	1	1	8	4
trial_3	0	0	0	1	1	9	4
trial_4	0	0	0	0	1	9	5
trial_5	0	0	0	0	2	5	5
trial_6	0	0	0	0	3	8	4
trial_7	0	0	0	0	3	9	4
trial_8	0	0	0	0	2	8	3
trial_9	0	0	0	0	4	8	3
trial_10	0	0	0	1	1	7	7
trial_11	0	0	0	0	1	9	6
trial_12	0	0	0	0	1	6	5
trial_13	0	0	0	0	1	5	5
trial_14	0	0	0	0	6	9	2
trial_15	0	0	0	0	0	4	5
trial_16	0	0	0	0	0	11	4
trial_17	0	0	0	0	5	6	3
trial_18	0	0	0	0	1	8	4
trial_19	0	0	0	0	1	6	5
trial_20	0	0	0	0	1	4	7
trial_21	0	0	0	0	0	9	3
trial_22	0	0	0	0	4	5	7
trial_23	0	0	0	0	0	9	5
trial_24	0	0	0	0	0	7	5
trial_25	0	0	0	2	3	7	3
trial_26	0	0	0	0	0	13	3
trial_27	0	0	0	0	4	4	2
trial_28	0	0	0	0	0	9	8
trial_29	0	0	0	0	3	3	10
trial_30	0	0	0	1	0	8	2
trial_31	0	0	0	0	0	5	6
trial_32	0	0	0	0	1	9	7
trial_33	0	0	0	0	3	8	4
trial_34	0	0	0	0	1	5	3
trial_35	0	0	0	0	1	6	7
trial_36	0	0	0	0	0	8	6
trial_37	0	0	0	0	1	6	5
trial_38	0	0	0	0	1	9	4
trial_39	0	0	0	0	1	6	6
trial_40	0	0	0	0	1	9	3
trial_41	0	0	0	0	2	12	1
trial_42	0	0	0	0	1	6	5
trial_43	0	0	0	0	0	8	4
trial_44	0	0	0	0	1	11	3
trial_45	0	0	0	0	1	8	5
trial_46	0	0	0	0	2	2	6
trial_47	0	0	0	0	0	10	5
trial_48	0	0	0	0	1	7	6
trial_49	0	0	0	0	1	6	6
trial_50	0	0	0	0	0	8	5
trial_51	0	0	0	0	1	8	2
trial_52	0	0	0	0	2	10	2
trial_53	0	0	0	0	2	3	7
trial_54	0	0	1	0	1	6	5
trial_55	0	0	0	0	0	11	5
trial_56	0	0	0	0	1	10	4
trial_57	0	0	0	1	1	8	6
trial_58	0	0	0	0	1	9	3
trial_59	0	0	0	0	4	5	3
trial_60	0	0	0	0	1	7	3
trial_61	0	0	0	0	0	7	3
trial_62	0	0	0	1	3	6	5
trial_63	0	0	0	0	0	10	3
trial_64	0	0	0	0	1	8	1
trial_65	0	0	0	0	0	8	4
trial_66	0	0	0	0	2	8	5
trial_67	0	0	0	0	1	9	2
trial_68	0	0	0	0	2	9	3
trial_69	0	0	0	1	0	4	5
trial_70	0	0	0	0	0	9	4
trial_71	0	0	0	0	1	9	6
trial_72	0	0	0	0	1	8	5
trial_73	0	0	0	0	1	6	4
trial_74	0	0	0	0	2	7	2
trial_75	0	0	0	0	2	6	5
trial_76	0	0	0	0	3	8	2
trial_77	0	0	0	0	1	5	6
trial_78	0	0	0	0	1	9	5
trial_79	0	0	0	0	1	6	5
trial_80	0	0	0	0	1	8	3
trial_81	0	0	0	0	1	13	3
trial_82	0	0	0	0	2	9	4
trial_83	0	0	0	1	3	8	2
trial_84	0	0	0	0	1	8	8
