	(0, 1]	(1, 2]	(2, 3]	(3, 4]	(4, 5]	(5, 6]	(6, 7]
trial_0	0	0	1	4	18	96	59
trial_1	0	0	0	4	31	90	51
trial_2	0	0	1	3	26	101	47
trial_3	0	0	1	2	24	95	53
trial_4	0	0	0	1	29	95	54
trial_5	0	0	0	0	32	96	53
trial_6	0	0	0	3	26	96	52
trial_7	0	0	0	5	28	89	58
trial_8	0	0	0	5	22	94	53
trial_9	0	0	0	6	22	91	57
trial_10	0	0	0	1	28	89	58
trial_11	0	0	1	3	29	99	46
trial_12	0	0	0	2	17	105	57
trial_13	0	0	0	0	25	94	56
trial_14	0	0	0	4	19	99	58
trial_15	0	0	1	6	29	82	54
trial_16	0	0	0	5	26	87	57
trial_17	0	0	1	2	26	89	62
trial_18	0	0	0	5	24	92	54
trial_19	0	0	1	6	33	92	45
trial_20	0	0	0	2	24	84	66
trial_21	0	0	0	0	28	89	61
trial_22	0	0	0	5	34	85	56
trial_23	0	0	0	1	23	96	58
trial_24	0	0	1	0	25	109	43
trial_25	0	0	0	1	27	99	55
trial_26	0	0	0	2	28	91	49
trial_27	0	0	0	2	26	93	55
trial_28	0	0	1	1	22	95	58
trial_29	0	0	1	2	34	88	49
trial_30	0	0	2	2	20	100	52
trial_31	0	0	1	1	36	85	52
trial_32	0	0	0	4	35	70	67
trial_33	0	0	0	3	23	92	59
trial_34	0	0	0	3	22	98	48
trial_35	0	0	0	2	35	91	46
trial_36	0	0	0	0	30	89	50
trial_37	0	0	0	3	26	96	54
trial_38	0	0	0	0	40	86	52
trial_39	0	0	0	1	32	84	60
trial_40	0	0	1	4	34	91	52
trial_41	0	0	0	3	41	95	45
trial_42	0	0	0	5	26	86	59
trial_43	0	0	0	3	36	98	45
trial_44	0	0	0	4	35	91	46
trial_45	0	1	1	6	32	88	42
trial_46	0	0	0	4	31	80	64
trial_47	0	1	0	5	35	85	54
trial_48	0	0	0	3	25	94	55
trial_49	0	0	0	4	30	93	50
trial_50	0	0	0	4	26	87	60
trial_51	0	0	0	1	25	93	60
trial_52	0	0	1	5	30	87	53
trial_53	0	0	0	5	32	92	48
trial_54	0	0	0	3	34	73	61
trial_55	0	0	0	7	31	96	42
trial_56	0	0	0	2	26	87	62
trial_57	0	0	0	2	33	85	57
trial_58	0	0	0	0	31	88	57
trial_59	0	0	0	1	27	89	54
trial_60	0	0	0	5	28	88	54
trial_61	0	0	0	1	21	90	66
trial_62	0	0	1	2	20	101	54
trial_63	0	0	0	0	25	94	57
trial_64	0	1	1	5	34	81	53
trial_65	0	0	0	0	20	114	44
trial_66	0	0	1	6	32	93	48
trial_67	0	0	0	1	24	92	63
trial_68	0	0	0	5	39	87	47
trial_69	0	0	0	1	26	87	59
trial_70	0	0	1	4	31	87	52
trial_71	0	0	0	3	24	101	51
trial_72	0	0	1	2	22	94	53
trial_73	0	0	2	3	22	105	47
trial_74	0	0	0	1	23	92	57
trial_75	0	0	0	4	18	100	46
trial_76	0	0	0	2	24	98	53
trial_77	0	0	1	1	35	90	51
trial_78	0	0	0	4	30	81	58
trial_79	0	0	1	1	28	90	57
trial_80	0	0	0	4	28	92	54
trial_81	0	0	0	2	30	89	57
trial_82	0	0	0	1	24	97	53
trial_83	0	0	0	2	24	98	54
trial_84	0	0	1	2	33	92	46
trial_85	0	0	1	0	20	94	54
trial_86	0	0	0	4	37	86	52
trial_87	0	0	1	3	25	90	58
trial_88	0	0	1	5	32	92	46
trial_89	0	0	0	4	25	90	57
trial_90	0	0	0	4	34	90	51
trial_91	0	0	0	4	33	99	43
trial_92	0	0	0	2	39	76	56
trial_93	0	0	0	0	32	92	49
trial_94	0	0	1	3	25	89	61
trial_95	0	0	0	4	27	96	51
trial_96	0	0	0	2	28	87	64
trial_97	0	0	0	3	21	91	55
trial_98	0	0	0	2	30	96	52
trial_99	0	0	1	1	31	92	55
trial_100	0	0	0	7	20	100	49
trial_101	0	0	0	2	23	88	68
trial_102	0	0	2	3	35	84	51
trial_103	0	0	0	2	30	95	49
trial_104	0	0	0	3	28	90	51
trial_105	0	0	0	4	26	91	56
trial_106	0	0	0	0	28	101	47
trial_107	0	0	1	0	25	98	55
trial_108	0	0	0	6	24	92	54
trial_109	0	0	1	1	24	95	48
trial_110	0	0	1	4	33	88	49
trial_111	0	0	0	1	29	85	63
trial_112	0	0	0	0	23	97	54
trial_113	0	0	0	2	25	93	59
trial_114	0	0	0	2	31	96	50
trial_115	0	0	0	4	24	106	38
trial_116	0	0	0	5	28	89	58
trial_117	0	0	0	4	30	90	57
trial_118	0	0	0	0	40	84	51
trial_119	0	0	0	10	28	85	58
trial_120	0	0	0	2	26	86	64
trial_121	0	0	0	1	40	82	54
trial_122	0	0	1	3	28	96	47
trial_123	0	0	0	2	23	98	58
trial_124	0	0	0	2	29	88	54
trial_125	0	0	0	2	38	80	56
trial_126	0	0	0	4	29	92	52
trial_127	0	0	0	1	28	96	52
trial_128	0	0	0	1	30	91	57
trial_129	0	0	1	1	31	74	63
trial_130	0	0	0	3	32	96	45
trial_131	0	0	1	0	33	85	56
trial_132	0	0	0	6	25	97	48
trial_133	0	0	0	3	22	102	48
trial_134	0	0	0	4	26	80	65
trial_135	0	1	1	3	28	96	45
trial_136	0	0	0	1	30	81	67
trial_137	0	0	1	1	23	97	56
trial_138	0	0	0	1	26	92	55
trial_139	0	1	1	2	26	95	55
trial_140	0	0	0	3	28	93	48
trial_141	0	0	0	0	30	87	56
trial_142	0	0	0	1	31	99	46
trial_143	0	0	0	5	24	84	56
trial_144	0	0	0	3	27	88	55
trial_145	0	0	3	0	29	87	57
trial_146	0	0	1	3	26	86	64
trial_147	0	0	0	2	31	83	65
trial_148	0	0	0	2	26	93	57
trial_149	0	0	0	4	27	82	58
trial_150	0	0	1	2	27	97	46
trial_151	0	0	0	4	28	91	50
trial_152	0	0	1	2	37	74	61
trial_153	0	0	0	0	29	99	48
trial_154	0	0	1	2	25	94	45
trial_155	0	0	0	3	26	100	47
trial_156	0	0	0	2	28	82	63
trial_157	0	0	0	2	38	85	50
trial_158	0	0	0	2	28	86	63
trial_159	0	0	0	2	31	77	66
trial_160	0	0	0	3	19	105	54
trial_161	0	0	0	2	28	92	54
trial_162	0	0	1	2	25	91	58
trial_163	0	0	0	1	35	96	45
trial_164	0	0	0	5	28	87	53
trial_165	0	0	0	4	25	91	57
trial_166	0	0	0	1	29	86	60
trial_167	0	0	1	2	26	96	55
trial_168	0	0	0	4	22	91	58
trial_169	0	0	0	0	21	104	52
trial_170	0	0	0	1	29	80	61
trial_171	0	0	2	3	27	86	58
trial_172	0	0	3	1	28	105	44
trial_173	0	0	1	3	28	86	58
trial_174	0	0	1	2	36	92	45
trial_175	0	0	2	3	22	89	56
trial_176	0	0	1	2	26	100	51
trial_177	0	0	1	2	19	88	66
trial_178	0	0	1	1	29	103	41
trial_179	0	0	0	3	27	95	49
trial_180	0	0	0	2	24	94	58
trial_181	0	0	0	2	29	91	53
trial_182	0	0	0	3	27	96	48
trial_183	0	0	1	3	23	100	48
trial_184	0	0	0	3	23	91	55
trial_185	0	0	0	2	12	106	57
trial_186	0	0	0	5	20	98	49
trial_187	0	0	1	4	29	90	47
trial_188	0	0	1	4	33	89	50
trial_189	0	0	0	5	22	109	46
trial_190	0	0	1	4	26	94	52
trial_191	0	0	0	1	31	95	53
trial_192	0	0	0	2	32	79	65
trial_193	0	0	0	2	29	95	48
trial_194	0	0	0	6	26	84	58
trial_195	0	0	0	1	26	101	47
trial_196	0	0	0	1	26	99	52
trial_197	0	0	2	3	26	86	62
trial_198	0	0	1	4	25	93	57
trial_199	0	0	0	4	34	89	50
trial_200	0	0	2	0	28	90	55
trial_201	0	0	0	1	31	91	54
trial_202	0	0	1	1	32	88	57
trial_203	0	0	0	1	22	104	53
trial_204	0	0	0	4	25	88	62
trial_205	0	0	0	2	30	101	45
trial_206	0	0	1	2	39	80	58
trial_207	0	0	1	5	33	84	55
trial_208	0	0	0	3	36	76	59
trial_209	0	0	0	2	19	94	58
trial_210	0	0	0	3	34	89	52
trial_211	0	0	1	3	28	80	64
trial_212	0	0	2	1	26	84	66
trial_213	0	0	1	1	29	93	53
trial_214	0	0	0	3	25	93	57
trial_215	0	0	1	3	34	79	63
trial_216	0	0	1	4	25	89	55
trial_217	0	0	0	5	32	90	48
trial_218	0	0	1	1	27	89	57
trial_219	0	0	0	3	29	90	53
trial_220	0	0	0	0	26	98	49
trial_221	0	0	1	6	35	86	47
trial_222	0	0	0	3	25	90	61
trial_223	0	0	1	1	31	89	52
trial_224	0	0	0	4	35	84	54
trial_225	0	1	0	0	24	97	58
trial_226	0	0	0	1	31	85	61
trial_227	0	0	0	4	20	100	58
trial_228	0	0	0	4	29	83	59
trial_229	0	0	0	2	29	101	44
trial_230	0	0	0	1	30	95	51
trial_231	0	0	0	5	24	98	49
trial_232	0	0	1	2	25	98	49
trial_233	0	1	0	0	31	106	41
trial_234	0	1	1	4	27	84	57
trial_235	0	0	4	1	29	79	59
trial_236	0	1	0	0	34	79	64
trial_237	0	0	1	4	23	98	51
trial_238	0	0	0	1	35	91	51
trial_239	0	0	0	2	22	89	68
trial_240	0	0	0	0	31	97	51
trial_241	0	0	0	5	24	99	50
trial_242	0	1	0	2	27	89	52
trial_243	0	0	0	3	20	91	61
trial_244	0	0	1	2	26	94	56
trial_245	0	0	0	2	27	92	56
trial_246	0	0	1	3	21	97	56
trial_247	0	0	0	0	21	100	59
trial_248	0	0	0	3	34	98	41
trial_249	0	0	0	3	25	100	50
trial_250	0	0	0	2	29	89	59
trial_251	0	0	0	3	34	89	51
trial_252	0	0	0	1	27	94	53
trial_253	0	0	1	3	21	99	54
trial_254	0	0	0	5	28	90	50
trial_255	0	0	1	3	25	100	48
trial_256	0	0	0	5	30	98	40
trial_257	0	0	0	3	21	93	53
trial_258	0	0	0	4	25	97	53
trial_259	0	0	0	3	32	89	56
trial_260	0	0	1	6	25	89	47
trial_261	0	0	0	2	23	98	53
trial_262	0	0	0	1	20	98	58
trial_263	0	0	0	2	23	85	66
trial_264	0	0	1	1	27	86	62
trial_265	0	0	0	2	33	87	54
trial_266	0	0	0	2	30	92	54
trial_267	0	1	0	7	28	83	57
trial_268	0	0	1	4	29	91	47
trial_269	0	0	0	2	28	99	51
trial_270	0	0	2	5	23	94	53
trial_271	0	0	1	2	37	88	49
trial_272	0	0	0	3	25	87	61
trial_273	0	0	0	2	29	97	53
trial_274	0	0	0	3	31	91	52
trial_275	0	0	0	4	30	72	71
trial_276	0	0	0	2	28	96	45
trial_277	0	0	0	1	24	86	65
trial_278	0	0	1	6	33	76	55
trial_279	0	0	1	4	20	91	59
trial_280	0	0	1	2	26	102	44
trial_281	0	0	0	5	26	89	57
trial_282	0	0	0	0	32	95	50
trial_283	0	0	0	2	21	94	54
trial_284	0	0	2	3	22	96	56
trial_285	0	0	1	4	22	102	44
trial_286	0	0	1	1	31	93	51
trial_287	0	0	0	1	33	92	57
trial_288	0	0	0	4	27	101	46
trial_289	0	0	1	2	28	88	56
trial_290	0	0	1	2	22	97	56
trial_291	0	0	0	1	29	96	50
trial_292	0	0	0	1	28	96	49
trial_293	0	0	0	3	22	88	63
trial_294	0	0	0	2	21	91	63
trial_295	0	0	0	4	26	87	61
trial_296	0	0	0	2	23	97	58
trial_297	0	0	0	1	30	81	56
trial_298	0	0	0	2	25	94	55
trial_299	0	0	0	3	26	93	61
trial_300	0	0	0	2	23	91	55
trial_301	0	0	0	1	20	88	63
trial_302	0	0	0	1	23	97	54
trial_303	0	0	0	4	22	83	65
trial_304	0	0	1	6	24	89	56
trial_305	0	0	1	1	30	97	52
trial_306	0	0	1	3	19	90	60
trial_307	0	0	0	4	28	95	49
trial_308	0	0	1	4	20	87	63
trial_309	0	0	0	3	28	92	54
trial_310	0	0	0	0	25	94	55
trial_311	0	0	0	2	26	103	47
trial_312	0	0	0	5	17	99	51
trial_313	0	1	0	3	32	98	49
trial_314	0	0	0	3	35	74	63
trial_315	0	0	0	2	24	83	59
trial_316	0	0	0	1	23	107	44
trial_317	0	0	0	2	28	78	67
trial_318	0	0	1	3	24	98	49
trial_319	0	0	0	5	29	87	56
trial_320	0	0	0	2	22	98	55
trial_321	0	1	1	1	30	90	50
trial_322	0	0	1	6	29	94	53
trial_323	0	0	0	6	25	91	54
trial_324	0	2	1	2	25	94	46
trial_325	0	1	0	4	34	95	41
trial_326	0	0	1	4	27	92	46
trial_327	0	1	1	0	28	95	49
trial_328	0	0	1	4	35	75	62
trial_329	0	0	0	3	26	89	52
trial_330	0	0	0	1	28	85	66
trial_331	0	0	0	3	33	85	59
trial_332	0	0	0	5	26	82	69
trial_333	0	0	0	3	31	99	47
trial_334	0	0	0	2	24	102	45
trial_335	0	0	1	3	39	87	46
trial_336	0	0	0	3	32	88	54
trial_337	0	0	1	2	27	84	59
trial_338	0	0	1	4	20	96	56
trial_339	0	0	0	0	27	87	62
trial_340	0	0	1	1	28	81	64
trial_341	0	0	0	2	22	100	50
trial_342	0	0	0	5	34	83	57
trial_343	0	0	0	2	23	100	56
trial_344	0	0	0	7	19	95	54
trial_345	0	0	2	1	30	82	61
trial_346	0	0	0	2	27	94	54
trial_347	0	0	0	2	24	103	51
trial_348	0	0	0	6	22	108	43
trial_349	0	0	0	5	35	84	50
trial_350	0	0	0	1	26	87	63
trial_351	0	0	0	0	29	102	46
trial_352	0	0	0	1	22	103	52
trial_353	0	0	0	1	31	99	44
trial_354	0	0	0	3	37	87	53
trial_355	0	0	0	3	28	92	52
trial_356	0	0	1	5	25	106	40
